N,EQ,MONQ50,MOTILALAMC - MONQ50,        61.37,        61.98,        62.35,        61.41,        61.92,                  1095293.50,17683,245,        63.52,        51.36,NASDAQ Q-50 TR INDEX
N,EQ,MOQUALITY,MOTILALAMC - MOQUALITY,       171.96,       176.25,       176.25,       172.00,       173.35,                    26551.91,153,14,       195.00,       112.96,MOTILAL OSWAL S&P BSE QUALITY ETF
N,EQ,MOREALTY,MOTILALAMC - MOREALTY,        90.06,        91.86,        91.86,        89.00,        90.87,                  4260979.39,47037,612,        92.20,        85.30,NIFTY REALTY TR INDEX
N,EQ,MOSMALL250,MOTILALAMC - MOSMALL250,        14.40,        14.50,        15.00,        14.40,        14.44,                  2675189.83,183039,167,        15.00,        14.00,NIFTY SMALLCAP 250 TR INDEX
N,EQ,MOVALUE,MOTILALAMC - MOVALUE,        90.09,        90.99,        92.48,        89.70,        91.67,                  9545351.65,104481,1156,       100.50,        46.33,MOTILAL OSWAL S&P BSE ENHANCED VALUE ETF
N,EQ,NAVINIFTY,NAVIAMC - NAVINIFTY,       223.00,       223.71,       226.70,       223.67,       226.35,                   236369.88,1051,19,       232.00,       189.00,NIFTY 50 INDEX
N,EQ,NETF,TATAAML - NETF,       234.61,       234.62,       238.76,       234.62,       237.05,                   547487.52,2313,100,       250.00,       174.90,NIFTY 50
N,EQ,NEXT50,MIRAEAMC - MANXT50,       608.41,       609.28,       617.05,       608.85,       615.01,                   849962.27,1386,78,       624.69,       372.63,NIFTY NEXT 50
N,EQ,NEXT50IETF,ICICIPRAMC - ICICINXT50,        62.26,        64.15,        64.15,        61.34,        63.27,                 40891015.30,649829,1372,        64.50,        37.10,NIFTY NEXT 50 ETF
N,EQ,NIF100BEES,NIP IND ETF NIFTY 100,       237.58,       239.00,       244.70,       237.58,       238.55,                 19632073.23,82224,348,       284.84,       171.00,NIFTY 100
N,EQ,NIF100IETF,ICICI PRUD NIFTY 100 ETF,       250.31,       250.25,       253.74,       249.76,       251.52,                  1793392.78,7110,333,       259.70,       181.90,NIFTY 100
N,EQ,NIF10GETF,UTIAMC - NIF10GETF,        22.81,        22.99,        23.34,        22.55,        23.14,                   245422.99,10718,64,        27.30,        21.60,NIFTY 10 YR BENCHMARK G-SEC INDEX
N,EQ,NIF5GETF,UTIAMC - NIF5GETF,        54.98,        55.00,        56.50,        55.00,        56.19,                   107405.35,1930,22,        66.14,        53.20,NIFTY 5 YR BENCHMARK G-SEC INDEX
N,EQ,NIFITETF,UTIAMC - NIFITETF,       348.44,       356.01,       356.01,       348.48,       350.13,                   799666.01,2278,114,       432.00,       347.35,NIFTY IT TRI
